,Speed: 7,Speed: 14,Speed: 21
209,4617.69,679.357,340.075
210,4635.12,682.249,341.568
211,4652.51,685.137,343.059
212,4669.86,688.022,344.55
213,4687.17,690.904,346.039
214,4704.44,693.783,347.527
215,4721.67,696.659,349.013
216,4738.87,699.531,350.499
217,4756.02,702.4,351.983
218,4773.14,705.267,353.466
219,4790.22,708.13,354.948
220,4807.26,710.989,356.428
221,4824.26,713.846,357.908
222,4841.23,716.7,359.386
223,4858.16,719.55,360.863
224,4875.04,722.397,362.338
225,4891.89,725.241,363.813
226,4908.71,728.082,365.286
227,4925.48,730.92,366.758
228,4942.22,733.754,368.229
229,4958.91,736.586,369.699
230,4975.58,739.414,371.167
231,4992.2,742.239,372.635
232,5008.78,745.061,374.101
233,5025.33,747.88,375.566
234,5041.84,750.696,377.029
235,5058.32,753.509,378.492
236,5074.75,756.319,379.953
237,5091.15,759.125,381.413
238,5107.51,761.928,382.872
239,5123.84,764.729,384.33
240,5140.12,767.526,385.786
241,5156.37,770.32,387.241
242,5172.59,773.111,388.695
243,5188.76,775.899,390.148
244,5204.9,778.684,391.6
245,5221.01,781.465,393.05
246,5237.07,784.244,394.5
247,5253.1,787.019,395.948
248,5269.09,789.792,397.395
249,5285.05,792.561,398.84
250,5300.97,795.328,400.285
251,5316.86,798.091,401.728
252,5332.7,800.851,403.17
253,5348.52,803.608,404.611
254,5364.29,806.362,406.051
255,5380.03,809.113,407.49
256,5395.73,811.861,408.927
257,5411.4,814.606,410.363
258,5427.03,817.348,411.798
259,5442.63,820.086,413.232
260,5458.19,822.822,414.665
261,5473.71,825.555,416.096
262,5489.2,828.284,417.526
263,5504.65,831.011,418.956
264,5520.07,833.734,420.384
265,5535.45,836.455,421.81
266,5550.8,839.172,423.236
267,5566.11,841.887,424.66
268,5581.39,844.598,426.083
269,5596.63,847.307,427.505
270,5611.83,850.012,428.926
271,5627,852.715,430.346
272,5642.14,855.414,431.765
273,5657.24,858.11,433.182
274,5672.31,860.804,434.598
275,5687.34,863.494,436.013
276,5702.33,866.181,437.427
277,5717.3,868.866,438.84
278,5732.22,871.547,440.251
279,5747.12,874.225,441.661
280,5761.97,876.901,443.07
281,5776.8,879.573,444.478
282,5791.59,882.243,445.885
283,5806.34,884.909,447.291
284,5821.06,887.572,448.695
285,5835.75,890.233,450.099
286,5850.4,892.89,451.501
287,5865.02,895.545,452.902
288,5879.6,898.197,454.302
289,5894.15,900.845,455.7
290,5908.67,903.491,457.098
291,5923.15,906.133,458.494
292,5937.6,908.773,459.889
293,5952.01,911.41,461.283
294,5966.4,914.044,462.676
295,5980.74,916.675,464.068
296,5995.06,919.302,465.459
297,6009.34,921.927,466.848
298,6023.59,924.55,468.236
299,6037.8,927.169,469.623
300,6051.98,929.785,471.009
301,6066.13,932.398,472.394
302,6080.24,935.008,473.778
303,6094.32,937.616,475.16
304,6108.37,940.22,476.541
305,6122.38,942.822,477.922
306,6136.37,945.42,479.301
307,6150.32,948.016,480.678
308,6164.23,950.609,482.055
309,6178.12,953.199,483.431
310,6191.97,955.786,484.805
311,6205.78,958.37,486.179
312,6219.57,960.951,487.551
313,6233.32,963.529,488.922
314,6247.04,966.105,490.292
315,6260.73,968.677,491.66
316,6274.39,971.247,493.028
317,6288.01,973.813,494.394
318,6301.6,976.377,495.76
319,6315.16,978.938,497.124
320,6328.69,981.496,498.487
321,6342.18,984.051,499.849
322,6355.65,986.604,501.209
323,6369.08,989.153,502.569
324,6382.48,991.7,503.927
325,6395.84,994.243,505.285
326,6409.18,996.784,506.641
327,6422.48,999.322,507.996
328,6435.75,1001.86,509.35
329,6448.99,1004.39,510.703
330,6462.2,1006.92,512.054
331,6475.38,1009.45,513.405
332,6488.53,1011.97,514.754
333,6501.64,1014.49,516.103
334,6514.72,1017.01,517.45
335,6527.77,1019.52,518.796
336,6540.8,1022.04,520.141
337,6553.78,1024.54,521.484
338,6566.74,1027.05,522.827
339,6579.67,1029.56,524.168
340,6592.57,1032.06,525.509
341,6605.43,1034.55,526.848
342,6618.27,1037.05,528.186
343,6631.07,1039.54,529.523
344,6643.84,1042.03,530.859
345,6656.58,1044.52,532.194
346,6669.29,1047,533.528
347,6681.98,1049.48,534.86
348,6694.63,1051.96,536.191
349,6707.25,1054.44,537.522
350,6719.83,1056.91,538.851
351,6732.39,1059.38,540.179
352,6744.92,1061.85,541.506
353,6757.42,1064.31,542.832
354,6769.89,1066.78,544.156
355,6782.33,1069.23,545.48
356,6794.73,1071.69,546.802
357,6807.11,1074.14,548.124
358,6819.46,1076.59,549.444
359,6831.78,1079.04,550.763
360,6844.06,1081.49,552.081
361,6856.32,1083.93,553.398
362,6868.55,1086.37,554.714
363,6880.75,1088.81,556.029
364,6892.92,1091.24,557.342
365,6905.05,1093.67,558.655
366,6917.16,1096.1,559.966
367,6929.24,1098.52,561.276
368,6941.29,1100.95,562.586
369,6953.31,1103.37,563.894
370,6965.31,1105.78,565.201
371,6977.27,1108.2,566.506
372,6989.2,1110.61,567.811
373,7001.1,1113.02,569.115
374,7012.98,1115.43,570.417
375,7024.82,1117.83,571.719
376,7036.64,1120.23,573.019
377,7048.43,1122.63,574.318
378,7060.18,1125.03,575.617
379,7071.91,1127.42,576.914
380,7083.61,1129.81,578.21
381,7095.29,1132.2,579.504
382,7106.93,1134.58,580.798
383,7118.54,1136.96,582.091
384,7130.13,1139.34,583.382
385,7141.69,1141.72,584.673
386,7153.21,1144.09,585.962
387,7164.71,1146.46,587.25
388,7176.19,1148.83,588.538
389,7187.63,1151.2,589.824
390,7199.04,1153.56,591.109
391,7210.43,1155.92,592.393
392,7221.79,1158.28,593.676
393,7233.12,1160.63,594.957
394,7244.42,1162.98,596.238
395,7255.69,1165.33,597.518
396,7266.94,1167.68,598.796
397,7278.16,1170.02,600.073
398,7289.35,1172.37,601.35
399,7300.51,1174.7,602.625
400,7311.64,1177.04,603.899
401,7322.75,1179.37,605.172
402,7333.83,1181.71,606.444
403,7344.88,1184.03,607.715
404,7355.9,1186.36,608.985
405,7366.9,1188.68,610.254
406,7377.86,1191,611.521
407,7388.8,1193.32,612.788
408,7399.72,1195.63,614.053
409,7410.6,1197.95,615.318
410,7421.46,1200.26,616.581
411,7432.29,1202.56,617.843
412,7443.1,1204.87,619.105
413,7453.87,1207.17,620.365
414,7464.62,1209.47,621.624
415,7475.34,1211.76,622.882
416,7486.04,1214.06,624.139
417,7496.71,1216.35,625.394
418,7507.35,1218.64,626.649
419,7517.96,1220.92,627.903
420,7528.55,1223.2,629.156
421,7539.11,1225.49,630.407
422,7549.65,1227.76,631.658
423,7560.15,1230.04,632.907
424,7570.63,1232.31,634.155
425,7581.09,1234.58,635.403
426,7591.52,1236.85,636.649
427,7601.92,1239.11,637.894
428,7612.29,1241.38,639.138
429,7622.64,1243.64,640.381
430,7632.96,1245.89,641.623
431,7643.26,1248.15,642.864
432,7653.52,1250.4,644.104
433,7663.77,1252.65,645.342
434,7673.98,1254.89,646.58
435,7684.17,1257.14,647.817
436,7694.34,1259.38,649.052
437,7704.48,1261.62,650.287
438,7714.59,1263.86,651.52
439,7724.68,1266.09,652.753
440,7734.74,1268.32,653.984
441,7744.77,1270.55,655.214
442,7754.78,1272.77,656.444
443,7764.76,1275,657.672
444,7774.72,1277.22,658.899
445,7784.65,1279.44,660.125
446,7794.56,1281.65,661.35
447,7804.44,1283.87,662.574
448,7814.29,1286.08,663.797
449,7824.12,1288.28,665.019
450,7833.93,1290.49,666.239
451,7843.7,1292.69,667.459
452,7853.46,1294.89,668.678
453,7863.19,1297.09,669.896
454,7872.89,1299.29,671.112
455,7882.57,1301.48,672.328
456,7892.22,1303.67,673.542
457,7901.84,1305.86,674.756
458,7911.45,1308.04,675.968
459,7921.02,1310.22,677.18
460,7930.58,1312.4,678.39
461,7940.1,1314.58,679.599
462,7949.61,1316.76,680.807
463,7959.08,1318.93,682.015
464,7968.54,1321.1,683.221
465,7977.96,1323.27,684.426
466,7987.37,1325.43,685.63
467,7996.74,1327.59,686.833
468,8006.1,1329.75,688.035
469,8015.43,1331.91,689.236
470,8024.73,1334.07,690.436
471,8034.01,1336.22,691.635
472,8043.27,1338.37,692.833
473,8052.5,1340.52,694.03
474,8061.71,1342.66,695.225
475,8070.89,1344.8,696.42
476,8080.05,1346.94,697.614
477,8089.18,1349.08,698.806
478,8098.29,1351.22,699.998
479,8107.38,1353.35,701.189
480,8116.44,1355.48,702.378
481,8125.48,1357.61,703.567
482,8134.49,1359.73,704.754
483,8143.48,1361.85,705.941
484,8152.45,1363.97,707.126
485,8161.39,1366.09,708.311
486,8170.31,1368.21,709.494
487,8179.2,1370.32,710.677
488,8188.07,1372.43,711.858
489,8196.92,1374.54,713.038
490,8205.74,1376.64,714.218
491,8214.54,1378.75,715.396
492,8223.32,1380.85,716.573
493,8232.07,1382.94,717.749
494,8240.8,1385.04,718.925
495,8249.5,1387.13,720.099
496,8258.18,1389.22,721.272
497,8266.84,1391.31,722.444
498,8275.48,1393.4,723.615
499,8284.09,1395.48,724.785
500,8292.68,1397.56,725.954
501,8301.24,1399.64,727.122
502,8309.79,1401.71,728.289
503,8318.31,1403.79,729.456
504,8326.8,1405.86,730.621
505,8335.28,1407.93,731.785
506,8343.73,1409.99,732.948
507,8352.15,1412.06,734.11
508,8360.56,1414.12,735.27
509,8368.94,1416.18,736.43
510,8377.3,1418.23,737.589
511,8385.63,1420.29,738.747
512,8393.95,1422.34,739.904
513,8402.24,1424.39,741.06
514,8410.51,1426.44,742.215
515,8418.75,1428.48,743.369
516,8426.97,1430.52,744.522
517,8435.17,1432.56,745.674
518,8443.35,1434.6,746.824
519,8451.51,1436.63,747.974
520,8459.64,1438.67,749.123
521,8467.75,1440.7,750.271
522,8475.84,1442.72,751.418
523,8483.91,1444.75,752.564
524,8491.95,1446.77,753.708
525,8499.97,1448.79,754.852
526,8507.97,1450.81,755.995
527,8515.95,1452.83,757.137
528,8523.9,1454.84,758.278
529,8531.83,1456.85,759.418
530,8539.75,1458.86,760.556
531,8547.63,1460.87,761.694
532,8555.5,1462.87,762.831
533,8563.35,1464.87,763.967
534,8571.17,1466.87,765.102
535,8578.97,1468.87,766.235
536,8586.75,1470.86,767.368
537,8594.51,1472.85,768.5
538,8602.25,1474.84,769.631
539,8609.96,1476.83,770.761
540,8617.65,1478.82,771.89
541,8625.33,1480.8,773.017
542,8632.98,1482.78,774.144
543,8640.61,1484.76,775.27
544,8648.21,1486.73,776.395
545,8655.8,1488.71,777.519
546,8663.36,1490.68,778.642
547,8670.91,1492.65,779.764
548,8678.43,1494.61,780.885
549,8685.93,1496.58,782.004
550,8693.41,1498.54,783.123
551,8700.87,1500.5,784.241
552,8708.3,1502.45,785.358
553,8715.72,1504.41,786.474
554,8723.11,1506.36,787.589
555,8730.49,1508.31,788.703
556,8737.84,1510.26,789.816
557,8745.17,1512.2,790.928
558,8752.48,1514.15,792.039
559,8759.77,1516.09,793.149
560,8767.04,1518.03,794.259
561,8774.29,1519.96,795.367
562,8781.52,1521.9,796.474
563,8788.73,1523.83,797.58
564,8795.91,1525.76,798.685
565,8803.08,1527.68,799.789
566,8810.22,1529.61,800.892
567,8817.35,1531.53,801.995
568,8824.45,1533.45,803.096
569,8831.54,1535.37,804.196
